0,1,2,4,3
How about some testimonies from real health experts?,"Also, who's to say there aren't testimonies from ""real"" health experts on there?",3.0,"['इसके अलावा, कौन कह सकता है कि वहाँ पर ""रियल"" स्वास्थ्य विशेषज्ञों के साक्ष्य नहीं हैं?']",['असली स्वास्थ्य विशेषज्ञों के कुछ साक्ष्य के बारे में क्या होगा?']
"""Then the captain was gone.",Then the captain came back.,0.800000011920929,['फिर कप्तान वापस आया।'],['तब कप्तान चला गया।']
The problem is simpler than that.,The problem is simple.,3.799999952316284,['समस्या सरल है।'],['समस्या इससे भी सरल है।']
NEGATIVE RECONNAISSANCE REQUIREMENTS.,PACIFIC REQUIREMENTS .,1.0,['समुद्री आवश्यकताएं'],['ऋणात्मक समझौता आवश्यकताएं.']
"So, I am dropping, for now, asking you the question: "" Where ' s the Marx "" ?","I am moving on to ask you the question: "" Where ' s the beef "" ?",0.4000000059604645,['मैं आपसे यह प्रश्न पूछने के लिए आगे बढ़ रहा हूंः “ मांस कहां है? ”'],['इसलिए अब मैं आपसे यह प्रश्न पूछ रहा हूं कि मार्क्स कहाँ है?']
go figure You're asking me to prove a negative?,You're asking me to prove a negative?,4.599999904632568,['आप मुझे एक नकारात्मक साबित करने के लिए पूछ रहे हैं?'],['तुम मुझे एक नकारात्मक साबित करने के लिए पूछ रहे हैं?']
I am OK with MEDICAL use!,I AM OK WITH MEDICAL USE!!,5.0,['मैं चिकित्सकीय उपयोग के साथ ठीक हूँ!'],['मैं चिकित्सकीय उपयोग के साथ ठीक हूँ!']
The prices for everything you need have gone up due to inflation.,The prices of everything you own IE assets have gone down.,2.0,['आपके पास आई. ई. आस्तियों की कीमतें घट गई हैं।'],['मुद्रास्फीति के कारण हर चीज की कीमतें बढ़ गई हैं।']
War in the middle east.,A WAR in the middle east.,5.0,['मध्य पूर्व में एक युद्ध।'],['मध्य पूर्व में युद्ध।']
Originally Posted by Vienna How was it authoritarian?,Originally Posted by zaf I give up.,0.6000000238418579,['मूलतः Posted by zaf I give up.'],['मूलतः विएना द्वारा प्रकाशित How was it authoritarian?']
Imagine a place that's % white and % black.,Imagine a place with % men and % women.,1.0,['% पुरुषों और% महिलाओं के साथ एक स्थान की कल्पना करें।'],['एक स्थान की कल्पना करें जो% सफेद और% काला है।']
There's no chance of a fair trial.,there is no chance at a fair trial.,5.0,['न्यायिक मुकदमे के लिए कोई अवसर नहीं है।'],['न्यायिक मुकदमे की कोई संभावना नहीं है।']
Nirvana is very different than oblivion.,Nirvana is NOT oblivion.,3.5999999046325684,['निर्वाण स्मरण नहीं है।'],['निर्वाण स्मरण से बहुत भिन्न है।']
We in Britain think differently to Americans.,Originally Posted by zaf We in Britain think differently to Americans.,4.0,['हम ब्रिटेन में अमरीकी से अलग सोचते हैं।'],['हम ब्रिटेन में अमरीकी से अलग सोचते हैं।']
If you answer yes to  and no to  you are probably straight.,If you answer no to  but yes to  then you are probably straight.,3.0999999046325684,"[""अगर आप 'नहीं' बल्कि 'हाँ' का उत्तर देते हैं तो आप शायद सीधा हो सकते हैं।""]",['अगर आप हाँ और न जवाब देते हैं तो शायद आप सीधा हैं।']
The whole earth combined produces enough food for  billion people.,Who does it now only produce enough for  billion?,2.200000047683716,['अब यह केवल अरब के लिए पर्याप्त उत्पादन करता है?'],['पूरी पृथ्वी एक साथ एक अरब लोगों के लिए पर्याप्त भोजन पैदा करती है।']
BTW he had appropriate deferments for the time.,"Appropriate deferments for the time, eh?",3.200000047683716,"['समय के लिए उपयुक्त विलंब, हं?']",['बेशक उस समय के लिए उनके पास उचित समय की देरी थी।']
"Hey, Blue-Eyes, How's things in London?","**smooches Ran** Hey, Blue-Eyes, How's things in London?",4.400000095367432,"['हू, ब्लू-ईयॉ, लंदन में क्या है?']","['හේ, ब्लू-ईयस, लंदन में क्या है?']"
but in the news broadcasts i have seen they did call him white.,"but it seems it would have less ""impact"" if they didn't call him white.",2.200000047683716,"['लेकिन ऐसा लगता है कि अगर वे उसे सफेद नहीं कहते तो यह कम ""impact"" होगा।']",['लेकिन समाचार प्रसारणों में मैंने देखा है कि उन्होंने उसे सफेद कहा है।']
"According to the girlfriend and Zimmerman, he did.",According to Zimmerman he did.,2.400000095367432,['जिमरमैन के अनुसार उसने ऐसा किया।'],"['girlfriend और Zimmerman के अनुसार, उसने ऐसा किया।']"
My parents have told me it is bad for you.,My teachers have told me it is bad for you.,2.799999952316284,['मेरे शिक्षकों ने मुझे बताया है कि यह तुम्हारे लिए बुरा है।'],['मेरे माता-पिता ने मुझे बताया है कि यह तुम्हारे लिए बुरा है।']
